event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
yecheon_2023,33590140,충청북도,충청북도 증평군,증평읍,0,0.6553974031655728,1.0,55469690.1475043,53535
yecheon_2023,33590310,충청북도,충청북도 증평군,도안면,0,0.5912018555595495,1.0,26430657.318662323,29313
yecheon_2023,37610380,경상북도,경상북도 봉화군,명호면,0,0.22713969890306923,0.9599999785423279,114842014.44374257,103129
yecheon_2023,37610390,경상북도,경상북도 봉화군,상운면,0,0.33375551975945894,1.0,58973334.82309911,65445
yecheon_2023,33020530,충청북도,충청북도 충주시,교현·안림동,0,0.6357735141328841,1.0,27660008.165746372,30704
yecheon_2023,33020550,충청북도,충청북도 충주시,용산동,0,0.7139006273545482,1.0,1568780.4111063934,1751
yecheon_2023,33044110,충청북도,충청북도 청주시,내수읍,0,0.6366627644955829,1.0,55283681.937147595,15378
yecheon_2023,33044310,충청북도,충청북도 청주시,북이면,0,0.5642829135342895,1.0,47313835.75438993,13262
yecheon_2023,33020110,충청북도,충청북도 충주시,주덕읍,0,0.43379596809947524,1.0,48219412.58281023,51394
yecheon_2023,33020310,충청북도,충청북도 충주시,살미면,0,0.6367204747156399,1.0,90328837.28408772,100295
yecheon_2023,33020320,충청북도,충청북도 충주시,수안보면,0,0.5532736947080487,1.0,73098256.52633119,81156
yecheon_2023,33020340,충청북도,충청북도 충주시,신니면,0,0.26658989246038334,1.0,59686975.66611429,55444
yecheon_2023,33020350,충청북도,충청북도 충주시,노은면,0,0.0,0.0,61680870.72027805,330
yecheon_2023,33020380,충청북도,충청북도 충주시,금가면,0,0.16558153793843536,1.0,33632834.72388727,13043
yecheon_2023,33020390,충청북도,충청북도 충주시,동량면,0,0.3272396004321084,1.0,109658403.03693442,66494
yecheon_2023,33020570,충청북도,충청북도 충주시,문화동,0,0.6817657337312333,1.0,1023170.2112797879,1144
yecheon_2023,33020580,충청북도,충청북도 충주시,호암·직동,0,0.6158704849130016,1.0,14239416.417175185,15813
yecheon_2023,33020600,충청북도,충청북도 충주시,달천동,0,0.7579405614348936,1.0,22861229.50276238,25371
yecheon_2023,33020610,충청북도,충청북도 충주시,봉방동,0,0.9619594759961131,1.0,3637980.5535160825,4047
