event_id,event,label_source,threshold,quadrant,variable,units,probability_raster,label_raster,terrain_source,n,mean,median,q05,q10,q25,q75,q90,q95
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,TP,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,11137,20.932891845703125,22.438453674316406,0.2749825298786177,3.400286769866944,13.81251049041748,28.634357452392578,33.69160919189453,36.94874191284178
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,TP,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,11137,356.06744384765625,337.4867858886719,68.5,70.5,183.97067260742188,523.909912109375,653.3115478515625,715.9879516601562
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,FN,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,4434,22.937707901000977,22.975686073303223,12.092932415008544,14.850932216644287,18.79733371734619,27.13119602203369,31.22039661407471,33.77903385162354
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,FN,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,4434,424.3572998046875,414.84068298339844,114.30113639831544,179.007177734375,333.636962890625,539.7703552246094,645.862225341797,690.9994995117186
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,FP,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,906347,19.283802032470703,20.945472717285156,0.0,1.229161834716797,9.077792644500732,28.360983848571777,33.46583099365235,36.24949264526367
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,FP,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,906347,292.2684020996094,271.67535400390625,72.72641143798828,89.7014389038086,171.68089294433594,393.8341522216797,525.072900390625,602.7199584960937
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,TN,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,337986,21.187789916992188,21.07422637939453,4.022767901420593,8.436153888702393,15.10914659500122,26.626148223876953,32.08486366271973,35.28546333312988
chuncheon_2020,Chuncheon 2020,Sentinel scar label,0.5,TN,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,337986,327.26751708984375,303.9877014160156,101.0,123.91305541992188,183.440673828125,445.24842071533203,580.6286926269531,652.335205078125
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,TP,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,16,14.19444465637207,14.589277744293213,2.984741449356079,3.0856287479400635,10.251250386238098,20.53506898880005,22.60673236846924,23.074199676513672
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,TP,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,16,248.4408721923828,281.4948425292969,74.91695594787598,75.93870544433594,221.61254501342773,326.53182220458984,337.93922424316406,341.8494567871094
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,FN,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,1,20.499080657958984,20.499080657958984,20.499080657958984,20.499080657958984,20.499080657958984,20.499080657958984,20.499080657958984,20.499080657958984
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,FN,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,1,349.3017883300781,349.3017883300781,349.3017883300781,349.3017883300781,349.3017883300781,349.3017883300781,349.3017883300781,349.3017883300781
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,FP,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,917468,19.303903579711914,20.970484733581543,0.0,1.2399772405624392,9.140024662017822,28.36433172225952,33.469007110595705,36.258532142639154
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,FP,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,917468,293.0436096191406,272.30657958984375,72.36045684814454,89.43280181884766,171.9295425415039,394.9804382324219,527.3119506835938,605.475564575195
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,TN,slope_degrees,degrees,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,342419,21.21044921875,21.106048583984375,4.118725347518922,8.50681667327881,15.169591903686523,26.634222984313965,32.07297668457032,35.264833450317376
chuncheon_2020,Chuncheon 2020,NIDR-only pixel label,0.5,TN,elevation_m,m,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label_variant_B.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif,342419,328.524658203125,305.86273193359375,101.0,124.09238128662109,184.24913024902344,446.8003692626953,581.885107421875,653.4813659667967
