event,ADM_CD,SIDO,SIGUNGU,EMD,label_source,positive,mean_prob,pixel_count
yecheon_2023,33560360,충청북도,충청북도 괴산군,청천면,Sentinel scar label,1,0.5483234840913449,231838
yecheon_2023,37040360,경상북도,경상북도 안동시,남후면,Sentinel scar label,1,0.8298322148903629,71461
yecheon_2023,37040370,경상북도,경상북도 안동시,남선면,Sentinel scar label,1,0.6246454485700876,65886
yecheon_2023,37040380,경상북도,경상북도 안동시,임하면,Sentinel scar label,1,0.3775045751351848,102732
yecheon_2023,37040390,경상북도,경상북도 안동시,길안면,Sentinel scar label,1,0.34834728739164217,119204
yecheon_2023,37040400,경상북도,경상북도 안동시,임동면,Sentinel scar label,1,0.20538183322120912,53636
yecheon_2023,37040630,경상북도,경상북도 안동시,강남동,Sentinel scar label,1,0.4590457714269058,21651
yecheon_2023,37050330,경상북도,경상북도 구미시,도개면,Sentinel scar label,1,0.7318240170690226,55926
yecheon_2023,33020510,충청북도,충청북도 충주시,성내·충인동,Sentinel scar label,0,0.9376936939922539,555
yecheon_2023,33020540,충청북도,충청북도 충주시,교현2동,Sentinel scar label,0,0.8983556007677335,973
yecheon_2023,33520110,충청북도,충청북도 보은군,보은읍,Sentinel scar label,1,0.4967839905668926,69210
yecheon_2023,33520310,충청북도,충청북도 보은군,속리산면,Sentinel scar label,1,0.38449308000470234,102531
yecheon_2023,33520320,충청북도,충청북도 보은군,장안면,Sentinel scar label,1,0.44485054549425285,33087
yecheon_2023,33520330,충청북도,충청북도 보은군,마로면,Sentinel scar label,1,0.532712134929165,75730
yecheon_2023,37060110,경상북도,경상북도 영주시,풍기읍,Sentinel scar label,1,0.5175403077728234,85218
yecheon_2023,37060310,경상북도,경상북도 영주시,이산면,Sentinel scar label,1,0.3181541631648819,60157
yecheon_2023,37060320,경상북도,경상북도 영주시,평은면,Sentinel scar label,1,0.28774781194362153,70043
yecheon_2023,37060330,경상북도,경상북도 영주시,문수면,Sentinel scar label,1,0.27368232745230375,46677
