event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count,mean_elevation_m,relief_m,log_unit_area_m2
yecheon_2023,33530340,충청북도,충청북도 옥천군,청성면,0,0.510613547210662,1.0,83378014.0507092,91028,213.539306640625,573.906982421875,18.238895212079893
yecheon_2023,33530350,충청북도,충청북도 옥천군,청산면,0,0.4277769961963082,1.0,72990574.68493602,81048,224.7090301513672,667.521240234375,18.10584087687176
yecheon_2023,33540320,충청북도,충청북도 영동군,황간면,0,0.7895488949718708,1.0,90412414.96199954,6606,282.47503662109375,859.9989013671875,18.31989214958344
yecheon_2023,33540400,충청북도,충청북도 영동군,심천면,0,1.0,1.0,78065929.55442572,126,0.0,0.0,18.17306427832843
yecheon_2023,33550320,충청북도,충청북도 진천군,초평면,0,0.9892529002198488,1.0,76403018.57144257,4310,24.457176208496094,309.4529113769531,18.151532763453663
yecheon_2023,33560110,충청북도,충청북도 괴산군,괴산읍,0,0.4883967304713284,1.0,49353701.06673528,54813,177.68052673339844,400.76788330078125,17.714523317318115
yecheon_2023,33560310,충청북도,충청북도 괴산군,감물면,0,0.5081165054205269,1.0,42630710.85824906,47311,227.10177612304688,719.5045166015625,17.568085463672716
yecheon_2023,33560320,충청북도,충청북도 괴산군,장연면,0,0.5980163079766256,1.0,61411072.27533792,68186,288.5174255371094,737.822998046875,17.933100707077063
yecheon_2023,33560330,충청북도,충청북도 괴산군,연풍면,0,0.6490220645930357,1.0,93346330.6932733,103647,457.06402587890625,881.1126098632812,18.351827120197928
yecheon_2023,33560340,충청북도,충청북도 괴산군,칠성면,0,0.538365617569599,1.0,102243567.31661353,113523,368.3262023925781,837.417724609375,18.44286843957922
yecheon_2023,33560350,충청북도,충청북도 괴산군,문광면,0,0.7814962868508846,1.0,56046887.63972557,62234,258.4140319824219,478.4986572265625,17.84169917765747
yecheon_2023,33560360,충청북도,충청북도 괴산군,청천면,0,0.5483234840913449,1.0,208786408.6549629,231838,345.4231262207031,849.6246337890625,19.156822319205496
yecheon_2023,37040360,경상북도,경상북도 안동시,남후면,0,0.8298322148903629,1.0,64384329.604150325,71461,166.8097381591797,299.8332214355469,17.980380832337147
yecheon_2023,37040370,경상북도,경상북도 안동시,남선면,0,0.6246454485700876,1.0,59355452.98427537,65886,228.6503448486328,476.05877685546875,17.899054553220203
yecheon_2023,37040380,경상북도,경상북도 안동시,임하면,0,0.3775045751351848,1.0,92593845.673379,102732,214.6296844482422,490.0334167480469,18.343733235997156
yecheon_2023,37040390,경상북도,경상북도 안동시,길안면,0,0.3483472873916421,1.0,202430789.66208667,119204,337.7898254394531,826.2084350585938,19.125908606644476
yecheon_2023,37040400,경상북도,경상북도 안동시,임동면,0,0.2053818332212091,1.0,152207821.99000278,53636,207.0470733642578,401.31103515625,18.84075739490968
yecheon_2023,37040630,경상북도,경상북도 안동시,강남동,0,0.4590457714269058,1.0,19531683.40935435,21651,139.50535583496094,225.450927734375,16.787548495213684
yecheon_2023,37050330,경상북도,경상북도 구미시,도개면,0,0.7318240170690226,1.0,60884458.9575884,55926,134.97201538085938,669.1373291015625,17.924488510583167
yecheon_2023,33020510,충청북도,충청북도 충주시,성내·충인동,0,0.937693693992254,1.0,500751.65306796145,555,91.78772735595703,20.268348693847656,13.123865554706763
yecheon_2023,33020540,충청북도,충청북도 충주시,교현2동,0,0.8983556007677335,1.0,872602.4147669512,973,85.82701873779297,24.176742553710938,13.67923530699185
yecheon_2023,33520110,충청북도,충청북도 보은군,보은읍,0,0.4967839905668926,1.0,62331604.95053997,69210,226.9730987548828,451.22711181640625,17.947979157700118
yecheon_2023,33520310,충청북도,충청북도 보은군,속리산면,0,0.3844930800047023,1.0,92321232.54777332,102531,466.4486389160156,809.9765625,18.34078471145571
yecheon_2023,33520320,충청북도,충청북도 보은군,장안면,0,0.4448505454942528,1.0,29806791.46279137,33087,289.1145935058594,699.0035400390625,17.210246826945998
